ARTICLE_ID,DOI,SORT_DATE,ARTICLE_TITLE,PUBLICATION_NAME,Unique concatenate(AUTHOR_FULL_NAME),Unique concatenate(AUTHOR_FULL_NAME (#1))
9183910,,4/7/2013,Enhancing hydrogel functionality through the combination of physical and covalent crosslinks,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,"Burdick, Jason A.","Rodell, Christopher B."
9228522,10.1021/bm401280z,11/1/2013,Rational Design of Network Properties in Guest-Host Assembled and Shear-Thinning Hyaluronic Acid Hydrogels,BIOMACROMOLECULES,"Burdick, Jason A.","Rodell, Christopher B."
9246335,10.1002/adhm.201200343,7/1/2013,Secondary Photocrosslinking of Injectable Shear-Thinning Dock-and-Lock Hydrogels,ADVANCED HEALTHCARE MATERIALS,"Burdick, Jason A.","Rodell, Christopher B."
9820159,10.1039/c4tb00724g,1/1/2014,"Ordered, adherent layers of nanofibers enabled by supramolecular interactions",JOURNAL OF MATERIALS CHEMISTRY B,"Burdick, Jason A.","Rodell, Christopher B., Highley, Christopher B."
10638773,,10/30/2014,MATERIALS SCIENCE Radicals promote magnetic gel assembly,NATURE,"Burdick, Jason A.","Rodell, Christopher B."
11557307,10.1021/ab500097d,4/1/2015,Visualization of Injectable Hydrogels Using Chemical Exchange Saturation Transfer MRI,ACS BIOMATERIALS SCIENCE & ENGINEERING,"Burdick, Jason A.","Rodell, Christopher B."
11765822,10.1002/adma.201501234,9/9/2015,Direct 3D Printing of Shear-Thinning Hydrogels into Self-Healing Hydrogels,ADVANCED MATERIALS,"Burdick, Jason A.","Rodell, Christopher B., Highley, Christopher B."
11985713,10.1021/acsnano.5b02702,8/1/2015,One-Step Generation of Multifunctional Polyelectrolyte Microcapsules via Nanoscale Interfacial Complexation in Emulsion (NICE),ACS NANO,"Burdick, Jason A.","Highley, Christopher B."
12355113,10.1073/pnas.1516247112,11/24/2015,Progress in material design for biomedical applications,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"Burdick, Jason A.","Rodell, Christopher B."
12487553,10.1002/adfm.201403550,1/28/2015,Shear-Thinning Supramolecular Hydrogels with Secondary Autonomous Covalent Crosslinking to Modulate Viscoelastic Properties In Vivo,ADVANCED FUNCTIONAL MATERIALS,"Burdick, Jason A.","Rodell, Christopher B."
12577295,10.1016/j.jtcvs.2015.07.035,11/1/2015,"Injectable shear-thinning hydrogels used to deliver endothelial progenitor cells, enhance cell engraftment, and improve ischemic myocardium",JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,"Burdick, Jason A.","Rodell, Christopher B."
12709819,10.1021/ab5001673,4/1/2015,"Selective Proteolytic Degradation of Guest-Host Assembled, Injectable Hyaluronic Acid Hydrogels",ACS BIOMATERIALS SCIENCE & ENGINEERING,"Burdick, Jason A.","Dusaj, Neville N., Rodell, Christopher B."
13181867,10.1016/j.jconrel.2015.03.025,5/28/2015,Local immunotherapy via delivery of interleukin-10 and transforming growth factor beta antagonist for treatment of chronic kidney disease,JOURNAL OF CONTROLLED RELEASE,"Burdick, Jason A.","Rodell, Christopher B."
13670167,10.1002/adma.201602268,10/12/2016,Injectable and Cytocompatible Tough Double-Network Hydrogels through Tandem Supramolecular and Covalent Crosslinking,ADVANCED MATERIALS,"Burdick, Jason A.","Rodell, Christopher B., Highley, Christopher B., Dusaj, Neville N."
14081377,10.1088/1758-5090/8/4/045004,12/1/2016,3D printing of photocurable poly(glycerol sebacate) elastomers,BIOFABRICATION,"Burdick, Jason A.","Highley, Christopher B."
15191993,10.1161/CIRCINTERVENTIONS.116.004058,10/1/2016,Injectable Shear-Thinning Hydrogels for Minimally Invasive Delivery to Infarcted Myocardium to Limit Left Ventricular Remodeling,CIRCULATION-CARDIOVASCULAR INTERVENTIONS,"Burdick, Jason A.","Dusaj, Neville N., Rodell, Christopher B."
15284432,10.1152/ajprenal.00579.2015,8/1/2016,Delivery of interleukin-10 via injectable hydrogels improves renal outcomes and reduces systemic inflammation following ischemic acute kidney injury in mice,AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY,"Burdick, Jason A.","Rodell, Christopher B."
15367615,10.1021/acsbiomaterials.6b00158,10/1/2016,3D Printing of Shear-Thinning Hyaluronic Acid Hydrogels with Secondary Cross-Linking,ACS BIOMATERIALS SCIENCE & ENGINEERING,"Burdick, Jason A.","Rodell, Christopher B., Highley, Christopher B."
17869686,10.2217/nnm-2016-0070,6/1/2016,Near-infrared light triggered release of molecules from supramolecular hydrogel-nanorod composites,NANOMEDICINE,"Burdick, Jason A.","Highley, Christopher B."
18667066,10.1021/acs.bioconjchem.5b00483,12/1/2015,Supramolecular Guest-Host Interactions for the Preparation of Biomedical Materials,BIOCONJUGATE CHEMISTRY,"Burdick, Jason A.","Rodell, Christopher B."
18783616,10.1039/c5tb00981b,1/1/2015,Sustained small molecule delivery from injectable hyaluronic acid hydrogels through host-guest mediated retention,JOURNAL OF MATERIALS CHEMISTRY B,"Burdick, Jason A.","Rodell, Christopher B."
19238322,10.1038/nprot.2017.053,8/1/2017,Shear-thinning and self-healing hydrogels as injectable therapeutics and for 3D-printing,NATURE PROTOCOLS,"Burdick, Jason A.","Rodell, Christopher B."
20175078,10.1039/c7py00323d,9/14/2017,Norbornene-modified poly(glycerol sebacate) as a photocurable and biodegradable elastomer,POLYMER CHEMISTRY,"Burdick, Jason A.","Highley, Christopher B."
20908033,10.1038/ncomms7639,3/1/2015,Protease-degradable electrospun fibrous hydrogels,NATURE COMMUNICATIONS,"Burdick, Jason A.","Rodell, Christopher B."
20932501,10.1002/adma.201604983,2/1/2017,A Generalizable Strategy for the 3D Bioprinting of Hydrogels from Nonviscous Photo-crosslinkable Inks,ADVANCED MATERIALS,"Burdick, Jason A.","Highley, Christopher B."
21026834,,11/11/2016,Injectable Hydrogels for Minimally Invasive Delivery to Limit Infarct Induced Left Ventricular Remodeling and Mitral Regurgitation,CIRCULATION,"Burdick, Jason A.","Rodell, Christopher B."
21354714,10.1172/JCI88759,3/1/2017,Epicardial YAP/TAZ orchestrate an immunosuppressive response following myocardial infarction,JOURNAL OF CLINICAL INVESTIGATION,"Burdick, Jason A.","Rodell, Christopher B."
21571544,10.1016/j.copbio.2016.02.008,8/1/2016,Recent advances in hyaluronic acid hydrogels for biomedical applications,CURRENT OPINION IN BIOTECHNOLOGY,"Burdick, Jason A.","Highley, Christopher B."
